edad;sexo;alfabeto;sistema_salud;nivel_educativo;ocupacion_jerarquia;estado_civil;ingreso
52;hombre;Si;No paga ni le descuentan;Superior Universitaria Completa;Cuenta propia;1;25000
43;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;4;23000
50;mujer;Si;Obra social (incluye PAMI);Secundaria Incompleta;Cuenta propia;1;3800
22;mujer;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;3;8000
44;hombre;Si;Obra social (incluye PAMI);Secundaria Incompleta;Cuenta propia;4;18000
46;hombre;Si;Obra social y mutual/prepaga/servicio de emergencia.;Superior Universitaria Completa;Director;1;45000
50;hombre;Si;Obra social (incluye PAMI);Secundaria Completa;Director;1;45000
52;hombre;Si;No paga ni le descuentan;Primaria Incompleta(incluye educación especial);Cuenta propia;4;2500
28;hombre;Si;No paga ni le descuentan;Superior Universitaria Incompleta;Cuenta propia;3;7000
36;mujer;Si;Mutual / Prepaga / Servicio de emergencia;Superior Universitaria Incompleta;Cuenta propia;1;20000
35;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;4;20000
30;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;1;10000
39;hombre;Si;No paga ni le descuentan;Secundaria Completa;Director;3;30000
74;hombre;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;4;30000
50;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;4;14000
59;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;5;12000
50;hombre;Si;Obra social (incluye PAMI);Superior Universitaria Incompleta;Director;1;30000
40;hombre;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;1;15000
22;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;3;6000
40;mujer;Si;No paga ni le descuentan;Superior Universitaria Completa;Cuenta propia;3;4000
62;mujer;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;4;9000
49;mujer;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;1;4000
34;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;4;7000
30;hombre;Si;Mutual / Prepaga / Servicio de emergencia;Secundaria Incompleta;Cuenta propia;4;20000
41;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;3;8000
26;mujer;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;3;4000
46;mujer;Si;Obra social (incluye PAMI);Primaria Completa;Cuenta propia;4;20000
71;mujer;Si;Obra social (incluye PAMI);Primaria Incompleta(incluye educación especial);Cuenta propia;1;600
21;hombre;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;3;4000
16;hombre;Si;Obra social (incluye PAMI);Secundaria Incompleta;Cuenta propia;3;500
63;mujer;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;2;2500
42;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;4;25000
54;mujer;Si;Obra social (incluye PAMI);Primaria Completa;Cuenta propia;2;4000
53;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;4;15000
64;hombre;Si;Obra social (incluye PAMI);Primaria Completa;Cuenta propia;1;15000
40;mujer;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;4;10000
35;mujer;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;3;1500
33;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;4;10000
47;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;2;5000
49;hombre;Si;No paga ni le descuentan;Superior Universitaria Incompleta;Director;1;10000
28;hombre;Si;No paga ni le descuentan;Primaria Incompleta(incluye educación especial);Cuenta propia;4;8000
32;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;4;8000
28;hombre;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;3;2000
36;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Incompleta;Cuenta propia;1;3000
31;mujer;Si;Planes y seguros públicos;Superior Universitaria Incompleta;Cuenta propia;2;1000
65;hombre;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;1;2500
71;hombre;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;1;25000
25;hombre;Si;Mutual / Prepaga / Servicio de emergencia;Superior Universitaria Incompleta;Cuenta propia;3;28000
59;hombre;Si;No paga ni le descuentan;Primaria Incompleta(incluye educación especial);Cuenta propia;1;9000
59;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;2;3000
70;hombre;Si;Obra social (incluye PAMI);Secundaria Incompleta;Cuenta propia;4;9000
33;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;4;14000
27;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Incompleta;Cuenta propia;3;10000
60;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;3;5000
54;hombre;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;2;10000
56;hombre;Si;No paga ni le descuentan;Secundaria Completa;otro;1;5000
64;hombre;Si;Obra social (incluye PAMI);Primaria Completa;Cuenta propia;3;18000
50;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;2;50000
43;hombre;Si;Mutual / Prepaga / Servicio de emergencia;Secundaria Completa;Cuenta propia;3;20000
56;mujer;Si;Obra social (incluye PAMI);Secundaria Incompleta;Cuenta propia;3;8000
50;mujer;Si;No paga ni le descuentan;Primaria Incompleta(incluye educación especial);Cuenta propia;4;6000
39;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Director;4;20000
44;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;1;10000
51;mujer;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;4;4000
34;hombre;Si;Obra social (incluye PAMI);Superior Universitaria Incompleta;Director;4;20000
78;hombre;Si;Obra social (incluye PAMI);Primaria Completa;Cuenta propia;3;1000
28;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;3;10000
30;mujer;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;3;4000
38;hombre;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;1;20000
42;hombre;Si;Mutual / Prepaga / Servicio de emergencia;Superior Universitaria Completa;Cuenta propia;4;15000
30;hombre;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;4;20000
43;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;1;40000
51;hombre;Si;Obra social y mutual/prepaga/servicio de emergencia.;Secundaria Completa;Cuenta propia;3;16000
26;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;4;5000
59;hombre;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;1;25000
24;mujer;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;3;15000
47;hombre;Si;Mutual / Prepaga / Servicio de emergencia;Secundaria Completa;Cuenta propia;5;13000
37;hombre;Si;Mutual / Prepaga / Servicio de emergencia;Primaria Completa;Cuenta propia;4;15000
52;mujer;Si;Obra social (incluye PAMI);Primaria Incompleta(incluye educación especial);Cuenta propia;1;3000
20;hombre;Si;No paga ni le descuentan;Primaria Completa;Director;3;2500
30;hombre;Si;No paga ni le descuentan;Superior Universitaria Completa;Cuenta propia;4;20000
38;hombre;No;No paga ni le descuentan;Sin instrucción;Cuenta propia;3;4000
52;mujer;Si;Obra social (incluye PAMI);Secundaria Incompleta;Cuenta propia;4;7000
63;hombre;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;2;20000
29;hombre;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;3;6000
30;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;4;1000
53;mujer;Si;Obra social (incluye PAMI);Primaria Completa;Cuenta propia;1;3000
18;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Incompleta;Cuenta propia;3;3000
51;mujer;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;3;12000
69;mujer;Si;Obra social (incluye PAMI);Primaria Incompleta(incluye educación especial);Cuenta propia;1;1000
54;hombre;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;4;28000
37;hombre;Si;No paga ni le descuentan;Superior Universitaria Completa;Cuenta propia;4;26000
23;mujer;Si;Planes y seguros públicos;Secundaria Completa;Cuenta propia;4;4000
58;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;1;3000
63;hombre;Si;Obra social (incluye PAMI);Primaria Incompleta(incluye educación especial);Cuenta propia;2;3000
48;hombre;Si;No paga ni le descuentan;Secundaria Completa;Director;3;12000
29;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;4;1800
37;hombre;Si;No paga ni le descuentan;Primaria Incompleta(incluye educación especial);Cuenta propia;3;1500
26;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;4;5000
56;mujer;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;2;6000
29;hombre;Si;No paga ni le descuentan;Superior Universitaria Incompleta;Cuenta propia;3;10000
46;hombre;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;2;15000
41;mujer;Si;No paga ni le descuentan;Secundaria Completa;Director;1;10000
43;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;4;12000
55;mujer;Si;Mutual / Prepaga / Servicio de emergencia;Superior Universitaria Completa;Cuenta propia;4;10000
20;mujer;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;3;5000
68;hombre;Si;Obra social (incluye PAMI);Primaria Completa;Cuenta propia;4;300
66;hombre;Si;No paga ni le descuentan;Primaria Incompleta(incluye educación especial);Cuenta propia;2;1500
58;mujer;Si;Obra social (incluye PAMI);Primaria Completa;Cuenta propia;1;18000
37;hombre;Si;No paga ni le descuentan;Superior Universitaria Completa;Cuenta propia;1;6000
18;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;3;500
37;mujer;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;1;4000
37;hombre;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;3;15000
51;hombre;Si;No paga ni le descuentan;Primaria Incompleta(incluye educación especial);Cuenta propia;1;23000
51;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Incompleta;Cuenta propia;4;15000
38;hombre;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;1;30000
34;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;1;16000
39;hombre;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;1;12000
27;mujer;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;3;1000
26;hombre;Si;No paga ni le descuentan;Primaria Incompleta(incluye educación especial);Cuenta propia;1;4000
61;hombre;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;4;12000
32;hombre;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;1;5000
38;mujer;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;3;3000
30;mujer;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;2;8000
42;hombre;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;3;6000
