Age,Sex,Job,Housing,Saving_accounts,Checking_account,Credit_amount,Duration,Purpose,Risk
67,male,2,own,,little,1169.0,6,radio/TV,good
85,female,2,own,19249.170894091894,moderate,30042.882006907865,48,radio/TV,bad
49,male,1,own,little,,2096.0,12,education,good
85,male,2,free,19565.146628748196,little,36924.07466080272,42,furniture/equipment,good
85,male,2,free,18835.73815632353,little,35475.97046686728,24,car,bad
85,male,1,free,13691.526199378803,,35799.48220704764,36,education,good
85,male,2,own,14109.025841428076,,31760.427381456957,24,furniture/equipment,good
85,male,3,rent,16358.047315098602,moderate,31933.621330567945,36,car,good
61,male,1,own,rich,,3059.0,12,radio/TV,good
28,male,3,own,little,moderate,5234.0,30,car,bad
25,female,2,rent,little,moderate,1295.0,12,car,bad
24,female,2,rent,little,little,4308.0,48,business,bad
22,female,2,own,little,moderate,1567.0,12,radio/TV,good
60,male,1,own,little,little,1199.0,24,car,bad
28,female,2,rent,little,little,1403.0,15,car,good
32,female,1,own,moderate,little,1282.0,24,radio/TV,bad
53,male,2,own,,,2424.0,24,radio/TV,good
25,male,2,own,,little,8072.0,30,business,good
44,female,3,free,little,moderate,12579.0,24,car,bad
31,male,2,own,quite rich,,3430.0,24,radio/TV,good
48,male,2,own,little,,2134.0,9,car,good
44,male,2,rent,quite rich,little,2647.0,6,radio/TV,good
48,male,1,rent,little,little,2241.0,10,car,good
85,male,2,own,17237.59394059629,moderate,31390.27850419235,12,car,good
26,male,2,own,,,2069.0,10,furniture/equipment,good
36,male,1,own,little,little,1374.0,6,furniture/equipment,good
39,male,1,own,little,,426.0,6,radio/TV,good
42,female,2,rent,rich,rich,409.0,12,radio/TV,good
34,male,2,own,little,moderate,2415.0,7,radio/TV,good
63,male,2,own,little,little,6836.0,60,business,bad
36,male,2,own,rich,moderate,1913.0,18,business,good
27,male,2,own,little,little,4020.0,24,furniture/equipment,good
30,male,2,own,moderate,moderate,5866.0,18,car,good
57,male,1,rent,,,1264.0,12,business,good
85,female,3,own,19963.854984782258,rich,30214.61562456915,12,furniture/equipment,good
85,male,1,own,26444.294209840747,moderate,26774.018323422413,45,radio/TV,bad
31,male,2,free,little,,6110.0,48,education,good
37,male,2,own,little,rich,2100.0,18,radio/TV,bad
37,male,2,own,little,rich,1225.0,10,domestic appliances,good
24,male,2,own,little,moderate,458.0,9,radio/TV,good
30,male,3,own,quite rich,,2333.0,30,radio/TV,good
26,male,2,own,quite rich,moderate,1158.0,12,radio/TV,good
85,male,1,own,19161.819608091035,moderate,33594.737787643906,18,repairs,good
85,male,2,rent,moderate,little,31825.398986378637,30,car,good
58,female,1,free,little,little,6143.0,48,car,bad
35,female,3,own,little,,1393.0,11,car,good
39,male,2,own,quite rich,,2299.0,36,radio/TV,good
23,female,0,rent,quite rich,little,1352.0,6,car,good
39,male,1,own,little,,7228.0,11,car,good
28,female,2,own,moderate,,2073.0,12,radio/TV,good
29,male,1,own,,moderate,2333.0,24,furniture/equipment,good
30,male,3,own,little,moderate,5965.0,27,car,good
25,male,2,own,little,,1262.0,12,radio/TV,good
31,male,2,own,,,3378.0,18,car,good
85,male,2,free,little,moderate,27582.70202485471,36,car,bad
26,male,1,own,,,783.0,6,car,good
52,male,3,own,,moderate,6468.0,12,radio/TV,bad
31,female,2,own,little,,9566.0,36,radio/TV,good
23,female,3,own,little,rich,1961.0,18,car,good
23,female,1,rent,little,little,6229.0,36,furniture/equipment,bad
27,male,2,own,little,moderate,1391.0,9,business,good
50,male,2,own,,moderate,1537.0,15,radio/TV,good
61,male,3,free,little,moderate,1953.0,36,business,bad
85,male,2,own,18944.058501159107,moderate,28463.10487719158,48,business,bad
26,female,2,own,little,,3181.0,24,radio/TV,good
48,male,2,own,,,5190.0,27,repairs,good
85,female,2,own,13112.976739759817,,24757.950110461083,12,radio/TV,good
22,male,2,own,rich,moderate,1007.0,12,car,good
37,male,2,free,little,,1819.0,36,education,bad
25,female,2,own,,,2394.0,36,radio/TV,good
30,female,2,own,little,,8133.0,36,car,good
46,male,1,rent,,,730.0,7,radio/TV,good
51,male,3,free,little,little,1164.0,8,vacation/others,good
85,female,1,own,little,moderate,26983.25578003368,42,business,good
40,male,3,own,,little,1977.0,36,education,bad
85,male,3,free,little,little,31631.928736921112,12,car,good
34,male,2,own,little,little,3965.0,42,radio/TV,bad
51,male,2,own,little,moderate,4771.0,11,radio/TV,good
39,male,1,own,,,9436.0,54,car,good
22,male,2,own,little,moderate,3832.0,30,furniture/equipment,good
44,female,2,own,,,5943.0,24,radio/TV,bad
47,male,2,own,quite rich,,1213.0,15,radio/TV,good
85,female,1,rent,23554.45336175181,,27221.081699844664,18,business,good
58,female,1,own,little,little,1755.0,24,vacation/others,good
52,male,1,own,little,little,2315.0,10,radio/TV,good
29,female,3,own,little,,1412.0,12,business,good
27,female,2,own,little,moderate,1295.0,18,furniture/equipment,good
47,male,2,free,moderate,moderate,12612.0,36,education,bad
30,male,3,own,moderate,little,2249.0,18,car,good
28,male,2,own,little,little,1108.0,12,repairs,bad
56,male,2,own,little,,618.0,12,radio/TV,good
54,male,2,own,little,little,1409.0,12,car,good
33,female,1,own,,,797.0,12,radio/TV,bad
20,male,2,rent,,rich,3617.0,24,furniture/equipment,good
54,male,2,own,rich,moderate,1318.0,12,car,good
58,male,2,rent,little,moderate,15945.0,54,business,bad
61,female,2,own,,,2012.0,12,education,good
34,male,2,own,moderate,moderate,2622.0,18,business,good
36,male,2,own,little,moderate,2337.0,36,radio/TV,good
36,male,3,rent,,moderate,7057.0,20,car,good
41,male,1,rent,moderate,,1469.0,24,car,good
24,male,2,rent,little,moderate,2323.0,36,radio/TV,good
24,female,2,own,little,,932.0,6,radio/TV,good
35,male,2,rent,little,moderate,1919.0,9,furniture/equipment,good
26,male,2,rent,,,2445.0,12,car,good
39,male,3,own,little,moderate,11938.0,24,vacation/others,bad
39,male,3,own,little,,6458.0,18,car,bad
32,male,2,own,little,moderate,6078.0,12,car,good
30,female,2,own,,little,7721.0,24,furniture/equipment,good
35,male,2,own,quite rich,moderate,1410.0,14,business,good
31,male,2,own,moderate,moderate,1449.0,6,business,good
23,female,2,rent,little,rich,392.0,15,education,good
28,male,1,rent,little,moderate,6260.0,18,car,good
25,female,2,own,little,,7855.0,36,car,bad
35,male,2,own,quite rich,little,1680.0,12,radio/TV,good
47,male,2,own,,,3578.0,48,radio/TV,good
30,female,3,own,,little,7174.0,42,radio/TV,bad
27,female,2,rent,,little,2132.0,10,furniture/equipment,good
23,female,2,own,quite rich,little,4281.0,33,furniture/equipment,bad
36,male,3,own,quite rich,moderate,2366.0,12,car,good
25,female,2,own,little,little,1835.0,21,radio/TV,bad
41,female,3,rent,little,,3868.0,24,car,good
24,male,1,rent,little,,1768.0,12,furniture/equipment,good
85,male,2,free,22979.33097282893,rich,31759.256168375334,10,car,good
27,female,2,rent,,moderate,1924.0,18,furniture/equipment,bad
30,male,2,own,little,little,2121.0,12,car,good
40,male,1,own,little,little,701.0,12,radio/TV,good
