marital_status;hours_per_week;age;education;income
Married-civ-spouse;35;61;HS-grad;>50K
Never-married;24;24;Some-college;<=50K
Married-civ-spouse;40;47;Some-college;>50K
Married-civ-spouse;40;23;Some-college;<=50K
Married-civ-spouse;40;66;Some-college;>50K
Never-married;20;19;Some-college;<=50K
Divorced;45;45;Doctorate;>50K
Divorced;48;48;Some-college;>50K
Married-civ-spouse;60;43;Bachelors;>50K
Married-civ-spouse;25;34;HS-grad;<=50K
Married-civ-spouse;40;51;Bachelors;>50K
Never-married;45;20;HS-grad;<=50K
Married-civ-spouse;65;33;Prof-school;>50K
Never-married;40;19;HS-grad;<=50K
Married-civ-spouse;40;57;Assoc-voc;>50K
Married-civ-spouse;40;38;Some-college;>50K
Divorced;35;30;Some-college;<=50K
Married-civ-spouse;40;31;Some-college;>50K
Married-civ-spouse;40;45;HS-grad;<=50K
Never-married;40;29;Some-college;<=50K
Married-civ-spouse;30;26;Masters;<=50K
Never-married;55;37;Prof-school;>50K
Never-married;40;23;Bachelors;>50K
Never-married;16;28;Bachelors;<=50K
Married-civ-spouse;30;38;HS-grad;<=50K
Divorced;20;38;Assoc-acdm;<=50K
Never-married;22;19;Some-college;<=50K
Never-married;50;44;Bachelors;<=50K
Married-civ-spouse;10;66;Bachelors;<=50K
Married-civ-spouse;40;58;Some-college;<=50K
Divorced;35;48;HS-grad;<=50K
Never-married;40;40;Masters;<=50K
Married-civ-spouse;40;46;HS-grad;>50K
Widowed;40;44;Assoc-acdm;<=50K
Divorced;40;45;Some-college;<=50K
Separated;40;40;Some-college;<=50K
Never-married;40;80;Bachelors;<=50K
Divorced;40;33;Some-college;<=50K
Married-civ-spouse;40;28;Some-college;<=50K
Married-civ-spouse;34;31;Some-college;<=50K
Married-civ-spouse;32;41;HS-grad;<=50K
Never-married;45;25;Bachelors;<=50K
Married-civ-spouse;40;43;Bachelors;>50K
Never-married;40;31;Masters;<=50K
Married-civ-spouse;40;30;HS-grad;<=50K
Married-civ-spouse;40;69;HS-grad;<=50K
Married-civ-spouse;40;35;HS-grad;<=50K
Married-civ-spouse;40;37;Masters;<=50K
Married-civ-spouse;45;34;Some-college;>50K
Divorced;38;42;Some-college;<=50K
Never-married;10;20;Some-college;<=50K
Never-married;30;28;HS-grad;<=50K
Married-civ-spouse;25;34;Bachelors;>50K
Divorced;16;69;10th;<=50K
Married-civ-spouse;50;49;Masters;>50K
Never-married;45;28;Prof-school;<=50K
Never-married;80;26;Bachelors;<=50K
Widowed;33;46;HS-grad;<=50K
Married-civ-spouse;40;41;Bachelors;>50K
Never-married;40;23;Bachelors;<=50K
Married-civ-spouse;50;34;HS-grad;<=50K
Married-civ-spouse;65;60;HS-grad;<=50K
Divorced;40;30;HS-grad;<=50K
Never-married;40;40;Some-college;<=50K
Divorced;40;36;11th;<=50K
Married-civ-spouse;50;42;Some-college;>50K
Widowed;40;42;HS-grad;>50K
Married-civ-spouse;45;54;HS-grad;>50K
Married-civ-spouse;45;66;Bachelors;>50K
Married-civ-spouse;40;30;HS-grad;<=50K
Widowed;12;78;HS-grad;<=50K
Married-civ-spouse;40;51;Some-college;<=50K
Married-civ-spouse;40;53;HS-grad;<=50K
Never-married;40;27;HS-grad;<=50K
Never-married;40;20;HS-grad;<=50K
Divorced;30;32;Some-college;<=50K
Divorced;40;50;Assoc-voc;>50K
Married-civ-spouse;45;44;Some-college;>50K
Never-married;35;17;12th;<=50K
Married-civ-spouse;50;53;Doctorate;>50K
Never-married;26;29;HS-grad;<=50K
Divorced;40;41;Masters;<=50K
Never-married;60;37;11th;>50K
Never-married;25;50;Prof-school;<=50K
Married-civ-spouse;45;47;Some-college;>50K
Married-civ-spouse;60;59;Bachelors;>50K
Divorced;30;55;Assoc-voc;<=50K
Married-civ-spouse;55;52;HS-grad;>50K
Married-civ-spouse;40;40;Bachelors;<=50K
Never-married;40;41;HS-grad;<=50K
Married-civ-spouse;40;34;HS-grad;<=50K
Married-civ-spouse;40;47;Doctorate;>50K
Married-civ-spouse;40;28;Assoc-voc;<=50K
Married-civ-spouse;40;36;Bachelors;>50K
Married-civ-spouse;25;42;HS-grad;<=50K
Never-married;50;37;10th;>50K
Married-civ-spouse;40;51;HS-grad;<=50K
Never-married;50;28;Masters;<=50K
Divorced;90;49;HS-grad;<=50K
Married-civ-spouse;40;44;Bachelors;>50K
Never-married;48;39;Some-college;>50K
Widowed;40;60;HS-grad;<=50K
Divorced;40;57;Some-college;<=50K
Never-married;40;39;HS-grad;<=50K
Widowed;40;51;10th;<=50K
Married-civ-spouse;40;42;Bachelors;>50K
Separated;40;28;Some-college;<=50K
Never-married;40;29;Assoc-acdm;<=50K
Never-married;50;24;Bachelors;<=50K
Never-married;20;21;Some-college;<=50K
Married-civ-spouse;50;32;Some-college;<=50K
Married-civ-spouse;40;36;10th;<=50K
Divorced;40;42;Assoc-acdm;<=50K
Married-civ-spouse;65;41;Masters;>50K
Married-civ-spouse;40;24;HS-grad;<=50K
Never-married;50;24;HS-grad;>50K
Married-civ-spouse;40;39;7th-8th;<=50K
Never-married;45;26;Some-college;<=50K
Never-married;35;25;Bachelors;>50K
Married-civ-spouse;24;59;Some-college;<=50K
Married-civ-spouse;40;32;Bachelors;>50K
Never-married;30;33;HS-grad;<=50K
