marital_status;hours_per_week;age;education;income
Married-civ-spouse;35;61.0;HS-grad;>50K
Never-married;24;24.0;Some-college;<=50K
Married-civ-spouse;40;;Some-college;>50K
Married-civ-spouse;40;23.0;Some-college;<=50K
Married-civ-spouse;40;;;>50K
Never-married;20;;Some-college;<=50K
Divorced;45;45.0;Doctorate;>50K
Divorced;48;48.0;Some-college;>50K
Married-civ-spouse;60;43.0;Bachelors;>50K
Married-civ-spouse;25;34.0;HS-grad;<=50K
Married-civ-spouse;40;51.0;Bachelors;>50K
Never-married;45;20.0;HS-grad;<=50K
Married-civ-spouse;65;;;>50K
Never-married;40;19.0;HS-grad;<=50K
Married-civ-spouse;40;57.0;Assoc-voc;>50K
Married-civ-spouse;40;38.0;Some-college;>50K
Divorced;35;30.0;Some-college;<=50K
Married-civ-spouse;40;31.0;Some-college;>50K
Married-civ-spouse;40;45.0;HS-grad;<=50K
Never-married;40;29.0;Some-college;<=50K
Married-civ-spouse;30;26.0;Masters;<=50K
Never-married;55;37.0;Prof-school;>50K
Never-married;40;23.0;Bachelors;>50K
Never-married;16;28.0;;<=50K
Married-civ-spouse;30;38.0;HS-grad;<=50K
Divorced;20;38.0;Assoc-acdm;<=50K
Never-married;22;19.0;Some-college;<=50K
Never-married;50;44.0;Bachelors;<=50K
Married-civ-spouse;10;66.0;Bachelors;<=50K
Married-civ-spouse;40;58.0;Some-college;<=50K
Divorced;35;48.0;HS-grad;<=50K
Never-married;40;;Masters;<=50K
Married-civ-spouse;40;46.0;HS-grad;>50K
Widowed;40;44.0;Assoc-acdm;<=50K
Divorced;40;45.0;Some-college;<=50K
Separated;40;40.0;Some-college;<=50K
Never-married;40;80.0;Bachelors;<=50K
Divorced;40;33.0;Some-college;<=50K
Married-civ-spouse;40;28.0;Some-college;<=50K
Married-civ-spouse;34;31.0;Some-college;<=50K
Married-civ-spouse;32;41.0;HS-grad;<=50K
Never-married;45;25.0;Bachelors;<=50K
Married-civ-spouse;40;43.0;Bachelors;>50K
Never-married;40;31.0;Masters;<=50K
Married-civ-spouse;40;30.0;HS-grad;<=50K
Married-civ-spouse;40;69.0;HS-grad;<=50K
Married-civ-spouse;40;35.0;HS-grad;<=50K
Married-civ-spouse;40;37.0;Masters;<=50K
Married-civ-spouse;45;34.0;Some-college;>50K
Divorced;38;42.0;Some-college;<=50K
Never-married;10;20.0;Some-college;<=50K
Never-married;30;28.0;HS-grad;<=50K
Married-civ-spouse;25;34.0;Bachelors;>50K
Divorced;16;69.0;10th;<=50K
Married-civ-spouse;50;49.0;Masters;>50K
Never-married;45;28.0;Prof-school;<=50K
Never-married;80;26.0;Bachelors;<=50K
Widowed;33;46.0;HS-grad;<=50K
Married-civ-spouse;40;41.0;Bachelors;>50K
Never-married;40;23.0;Bachelors;<=50K
Married-civ-spouse;50;34.0;HS-grad;<=50K
Married-civ-spouse;65;60.0;HS-grad;<=50K
Divorced;40;30.0;HS-grad;<=50K
Never-married;40;40.0;Some-college;<=50K
Divorced;40;36.0;11th;<=50K
Married-civ-spouse;50;42.0;Some-college;>50K
Widowed;40;42.0;HS-grad;>50K
Married-civ-spouse;45;54.0;HS-grad;>50K
Married-civ-spouse;45;66.0;Bachelors;>50K
Married-civ-spouse;40;30.0;HS-grad;<=50K
Widowed;12;78.0;HS-grad;<=50K
Married-civ-spouse;40;51.0;Some-college;<=50K
Married-civ-spouse;40;53.0;HS-grad;<=50K
Never-married;40;27.0;HS-grad;<=50K
Never-married;40;20.0;HS-grad;<=50K
Divorced;30;32.0;Some-college;<=50K
Divorced;40;50.0;Assoc-voc;>50K
Married-civ-spouse;45;44.0;Some-college;>50K
Never-married;35;17.0;12th;<=50K
Married-civ-spouse;50;53.0;Doctorate;>50K
Never-married;26;29.0;HS-grad;<=50K
Divorced;40;41.0;Masters;<=50K
Never-married;60;37.0;11th;>50K
Never-married;25;50.0;Prof-school;<=50K
Married-civ-spouse;45;47.0;Some-college;>50K
