;hours_per_week;age;income;marital_status_Divorced;marital_status_Married-AF-spouse;marital_status_Married-civ-spouse;marital_status_Married-spouse-absent;marital_status_Never-married;marital_status_Separated;marital_status_Widowed
0;35;61;>50K;0;0;1;0;0;0;0
1;24;24;<=50K;0;0;0;0;1;0;0
2;40;47;>50K;0;0;1;0;0;0;0
3;40;23;<=50K;0;0;1;0;0;0;0
4;40;66;>50K;0;0;1;0;0;0;0
5;20;19;<=50K;0;0;0;0;1;0;0
6;45;45;>50K;1;0;0;0;0;0;0
7;48;48;>50K;1;0;0;0;0;0;0
8;60;43;>50K;0;0;1;0;0;0;0
9;25;34;<=50K;0;0;1;0;0;0;0
10;40;51;>50K;0;0;1;0;0;0;0
11;45;20;<=50K;0;0;0;0;1;0;0
12;65;33;>50K;0;0;1;0;0;0;0
13;40;19;<=50K;0;0;0;0;1;0;0
14;40;57;>50K;0;0;1;0;0;0;0
15;40;38;>50K;0;0;1;0;0;0;0
16;35;30;<=50K;1;0;0;0;0;0;0
17;40;31;>50K;0;0;1;0;0;0;0
18;40;45;<=50K;0;0;1;0;0;0;0
19;40;29;<=50K;0;0;0;0;1;0;0
20;30;26;<=50K;0;0;1;0;0;0;0
21;55;37;>50K;0;0;0;0;1;0;0
22;40;23;>50K;0;0;0;0;1;0;0
23;16;28;<=50K;0;0;0;0;1;0;0
24;30;38;<=50K;0;0;1;0;0;0;0
25;20;38;<=50K;1;0;0;0;0;0;0
26;22;19;<=50K;0;0;0;0;1;0;0
27;50;44;<=50K;0;0;0;0;1;0;0
28;10;66;<=50K;0;0;1;0;0;0;0
29;40;58;<=50K;0;0;1;0;0;0;0
30;35;48;<=50K;1;0;0;0;0;0;0
31;40;40;<=50K;0;0;0;0;1;0;0
32;40;46;>50K;0;0;1;0;0;0;0
33;40;44;<=50K;0;0;0;0;0;0;1
34;40;45;<=50K;1;0;0;0;0;0;0
35;40;40;<=50K;0;0;0;0;0;1;0
36;40;80;<=50K;0;0;0;0;1;0;0
37;40;33;<=50K;1;0;0;0;0;0;0
38;40;28;<=50K;0;0;1;0;0;0;0
39;34;31;<=50K;0;0;1;0;0;0;0
40;32;41;<=50K;0;0;1;0;0;0;0
41;45;25;<=50K;0;0;0;0;1;0;0
42;40;43;>50K;0;0;1;0;0;0;0
43;40;31;<=50K;0;0;0;0;1;0;0
44;40;30;<=50K;0;0;1;0;0;0;0
45;40;69;<=50K;0;0;1;0;0;0;0
46;40;35;<=50K;0;0;1;0;0;0;0
47;40;37;<=50K;0;0;1;0;0;0;0
48;45;34;>50K;0;0;1;0;0;0;0
49;38;42;<=50K;1;0;0;0;0;0;0
50;10;20;<=50K;0;0;0;0;1;0;0
51;30;28;<=50K;0;0;0;0;1;0;0
52;25;34;>50K;0;0;1;0;0;0;0
53;16;69;<=50K;1;0;0;0;0;0;0
54;50;49;>50K;0;0;1;0;0;0;0
55;45;28;<=50K;0;0;0;0;1;0;0
56;80;26;<=50K;0;0;0;0;1;0;0
57;33;46;<=50K;0;0;0;0;0;0;1
58;40;41;>50K;0;0;1;0;0;0;0
59;40;23;<=50K;0;0;0;0;1;0;0
60;50;34;<=50K;0;0;1;0;0;0;0
61;65;60;<=50K;0;0;1;0;0;0;0
62;40;30;<=50K;1;0;0;0;0;0;0
63;40;40;<=50K;0;0;0;0;1;0;0
