track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,playlist_genre
0hKbBE3RwBZQtsnkzBIxIR,Loudspeaker,MUNA,0,1tS9lPztZQfU1exGGyZtS6,Loudspeaker,2015-09-09,Indie Poptimism!,4hKPJNFIhdAg4pAksn78FJ,indie poptimism,0.632,0.596,9,-8.156,1,0.0319,0.0227,0.046,0.11699999999999999,0.5529999999999999,118.97200000000001,210000,pop
5imShWWzwqfAJ9gXFpGAQh,Waiting On the World to Change,John Mayer,74,1Xsprdt1q9rOzTic7b9zYM,Continuum,2006-09-11,Indie/Jazz Poptimism,6OaTudLqBEuTyUMPxRNpZc,indie poptimism,0.5770000000000001,0.7559999999999999,2,-5.82,1,0.115,0.159,0.00023199999999999997,0.249,0.6629999999999999,176.75,201173,pop
2bPujZTjHKSIHztskmfudg,Wolf,Skott,0,6EOxrXqMJnUiQ0BzucxcPX,Wolf,2016-07-27,Deep-deep Bubble Pop,744VClUYfFnZCDPcOUkg5G,indie poptimism,0.5820000000000001,0.563,1,-9.314,1,0.0388,0.228,0.000343,0.0714,0.31,99.986,223200,pop
7d7i3Qm7awL2gJPcYoQ0hn,Aura - Edit,Avoure,54,42fhXYR9M3yxMTI0CV7fs5,Aura (Edit),2019-04-18,Pop Dance Hits,7eERKCkgNKCCx5GYdeMIZf,dance pop,0.611,0.833,1,-6.891,0,0.0317,0.0005059999999999999,0.92,0.102,0.261,122.978,268232,pop
1FeT3vkBmCC9jGJ88oVerU,Something More,Ralph,34,6qzFlQ7f0qa1AIR38erOcD,Something More,2016-08-03,Indie Poptimism,21nxmipQe5xtXoHHPaYfnY,indie poptimism,0.645,0.684,11,-5.084,0,0.0302,0.0151,5.46e-06,0.10400000000000001,0.581,94.014,201250,pop
5OOkp4U9P9oL23maHFHL1h,Panda,Desiigner,6,2SaYqv9d4lxLBm5nYPJHWh,New English,2016-06-26,Electropop Hits  2017-2020,7kyvBmlc1uSqsTL0EuNLrx,electropop,0.5760000000000001,0.7659999999999999,10,-4.9430000000000005,0,0.449,0.027999999999999997,1.68e-06,0.366,0.23600000000000002,144.833,246761,pop
6lhBJwyNBMPr6ejjscUDCj,Glitterball,Sigma,27,1X1BkXgNDV2MnlOsoYComr,Glitterball,2015-06-12,ElectroPop,0cuHKz65ZPqBX1brG8djlg,electropop,0.496,0.812,0,-3.471,1,0.0337,0.0376,0.0,0.153,0.222,140.012,226308,pop
7vgv8KZBSo0TPzyIWG9yzV,Salt,Ava Max,80,6KPJTxKFCpuzrwyJGcURqK,Salt,2019-12-12,"post-teen alternative, indie, pop (large variety)",1y42gwI5cuwjBslPyQNfqb,post-teen pop,0.693,0.835,6,-3.242,1,0.0623,0.131,0.0,0.073,0.743,128.05200000000002,180283,pop
4cumZShSrE76155WJ6kyGl,Last to Know,Roosevelt,21,40XQ4jfUBVX6OwpttxigCf,Young Romance,2018-09-28,Indie Poptimism,21nxmipQe5xtXoHHPaYfnY,indie poptimism,0.608,0.883,11,-4.845,0,0.0315,0.0619,0.0692,0.152,0.611,129.987,237546,pop
7AQxzmkhwBJwgSYr0qQTVf,Electric,Influence Music,34,7aeZhYzqlaq5f68cLvfsXc,Touching Heaven - Electric EP,2019-02-15,Christian Dance Party,37i9dQZF1DWUUPO0Sbx2CM,dance pop,0.638,0.875,0,-4.3660000000000005,1,0.15,0.469,0.0,0.319,0.5720000000000001,109.839,214038,pop
2LyrufB6lwhwHq0mT3Dihs,No Dices Mas,Mœnia,2,1f34JO0Wtr9YFa4uXM27Vy,Grandes Exitos,2005-01-01,ELECTROPOP EN ESPAÑOL,3VfscqF7zq65IGKiYM3FS0,electropop,0.7,0.754,1,-6.292000000000001,1,0.0282,0.0555,0.000672,0.0735,0.69,127.03200000000001,255733,pop
1x8IGM8FYl6uqn806QWdW0,The Left Side of Everywhere,Sleeping With Sirens,42,0AMC1Y0J0a5yN7lkOSWrJr,With Ears To See And Eyes To Hear,2010-03-23,Pop Punk | Post-Hardcore,1YgWQAs1s77NzieIH4ARKn,post-teen pop,0.371,0.966,11,-4.797,1,0.105,1.01e-05,0.0,0.735,0.413,180.04,179133,pop
5CMjjywI0eZMixPeqNd75R,Lose Yourself to Dance,Daft Punk,71,4m2880jivSbbyEGAKfITCa,Random Access Memories,2013-05-17,Dance Pop Tunes,4SdfG4cPG3skmTiQLozZGh,dance pop,0.8320000000000001,0.659,10,-7.827999999999999,0,0.057,0.0839,0.00114,0.0753,0.674,100.163,353893,pop
0yxWY5cPaPUpeAoqSIoWfq,Tropic Love,Diviners,53,2iyxWjV2Rfe04h4uzrkhcX,Tropic Love,2015-03-26,ElectroPop,0cuHKz65ZPqBX1brG8djlg,electropop,0.746,0.809,2,-6.428999999999999,1,0.0329,0.23600000000000002,2.59e-05,0.235,0.493,104.98899999999999,299440,pop
5Sf3GyLEAzJXxZ5mbCPXTu,Waves - Robin Schulz Radio Edit,Mr. Probz,76,7l4LGPXk2mB80WgXy4VeuB,Waves (Robin Schulz Radio Edit),2014-02-07,"post-teen alternative, indie, pop (large variety)",1y42gwI5cuwjBslPyQNfqb,post-teen pop,0.8290000000000001,0.51,5,-9.334,0,0.0369,0.00821,0.0014,0.0829,0.45,119.993,208133,pop
6rxEjkoar48SssZePbtb2x,Crystalised,The xx,66,2nXJkqkS1tIKIyhBcFMmwz,xx,2009-08-16,Indie/Jazz Poptimism,6OaTudLqBEuTyUMPxRNpZc,indie poptimism,0.763,0.484,11,-12.368,0,0.0311,0.812,0.39299999999999996,0.0841,0.41600000000000004,122.913,201947,pop
1tAoLzNNXRabfHHzSqdk3R,Django Jane,Janelle Monáe,37,1hDOTC8RDYkeeQBcdCg2nY,Django Jane,2018-02-21,This Is Janelle Monáe,37i9dQZF1DWVT93EW7kPT9,electropop,0.763,0.609,11,-6.375,1,0.39,0.513,0.0,0.23,0.287,102.525,193506,pop
5bJ3cuvn0fMdSV8tkJVpNY,Brakelights,Omar Apollo,1,5eKr93YptXrXBHGHG9VuLd,Brakelights,2017-08-08,indie poptimism,1E5VdGGWkpDQ682gdvJAZH,indie poptimism,0.693,0.42100000000000004,7,-7.735,1,0.0386,0.59,0.0217,0.0838,0.259,124.06200000000001,168387,pop
